;wordcount;sentimentValue;Star Rating;titleSentiment
134;52;0.19329080459562248;2;0.0
135;17;0.19928278219322493;4;1.0
136;34;0.2145432505538597;2;1.0
137;49;0.2268193466887973;2;1.0
138;16;0.2367129997471901;4;0.0
139;42;0.2640909909931957;2;1.0
140;22;0.27299127768796616;4;1.0
141;4;0.3159142897489563;4;1.0
142;42;0.3195760966430152;2;0.0
143;27;0.35809490388507426;2;1.0
144;35;0.3972941362709064;4;1.0
145;17;0.4009862986582935;4;1.0
146;16;0.4723618536219514;4;1.0
147;21;0.5114589565782479;4;1.0
148;16;0.5130354559770571;4;1.0
149;21;0.5288740718201562;4;1.0
150;21;0.5819337314075256;4;1.0
151;12;0.7433646662511416;4;0.0
152;25;0.8083844566577392;4;1.0
153;25;0.8135213140892275;4;1.0
154;30;0.8709106029180158;4;1.0
155;19;0.9115975679701868;4;1.0
156;10;2.0785325950993263;4;1.0
157;4;0.31941155594564963;5;1.0
158;3;0.33554752905825097;5;1.0
159;9;0.34063563269980396;5;1.0
160;1;0.340837500179434;5;1.0
161;9;0.3449286771629061;5;1.0
162;2;0.3730127762637939;5;1.0
163;5;0.3772858629714271;5;1.0
164;1;0.4105840889977529;5;1.0
165;12;0.4169960651198418;4;1.0
166;8;0.4360123288902548;5;1.0
167;13;0.458069977730335;4;1.0
168;6;0.4625917193798818;5;1.0
169;7;0.4753776139808154;5;0.0
170;12;0.5020110593028815;4;1.0
171;2;0.5313428364649476;5;1.0
172;2;0.5565330772558457;5;1.0
173;11;0.5907584355916051;4;1.0
174;5;0.5983660634855417;5;1.0
175;12;0.6265411347953563;4;1.0
176;5;0.6340958807855093;5;1.0
177;6;0.6447968318419971;5;1.0
178;8;0.6474717935270584;5;1.0
179;2;0.6507921259936814;5;1.0
180;7;0.6516914337116528;5;1.0
181;9;0.6601202476551651;5;1.0
182;12;0.6642221183609911;4;1.0
183;11;0.6665217815523699;5;1.0
184;5;0.670468060537199;5;1.0
185;3;0.6801670421347353;5;1.0
186;6;0.6818796304787703;5;1.0
187;3;0.6819368123322846;5;0.0
188;10;0.6930388877217459;5;0.0
189;4;0.6946132881913312;5;1.0
190;3;0.7036848999693831;5;1.0
191;2;0.7274064792791561;5;1.0
192;2;0.7290006586523401;5;1.0
193;2;0.7364849716820878;5;1.0
194;6;0.7775944112834658;5;1.0
195;2;0.7892840992683733;5;1.0
196;2;0.7892840992683733;5;1.0
197;9;0.7942105841361671;5;1.0
198;9;0.7964592393297233;5;1.0
199;6;0.8250062267641357;5;1.0
200;10;0.8486203812383325;5;1.0
201;12;0.8769455680589548;4;0.0
202;3;0.9502445375291844;5;1.0
203;3;0.9502445375291844;5;1.0
204;11;0.970349548727348;4;1.0
205;9;0.9833436469925813;5;1.0
206;3;0.9845039874196956;5;1.0
207;15;0.9875334198695158;4;1.0
208;7;1.0158067027225908;5;1.0
209;8;1.0349163821288017;5;1.0
210;7;1.0805100826193086;5;1.0
211;6;1.1124764077101597;5;1.0
212;18;1.1176293984723555;4;1.0
213;4;1.1324859398915716;5;1.0
214;1;1.165488007226509;5;1.0
215;1;1.165488007226509;5;1.0
216;7;1.1738691703782254;5;1.0
217;3;1.1755643481282338;5;1.0
218;2;1.2045016189965068;5;1.0
219;5;1.2131584025905635;5;1.0
220;1;1.2139421714046004;5;1.0
221;14;1.2520745197362697;4;1.0
222;2;1.2712604743582523;5;1.0
223;3;1.2940112542762372;5;1.0
224;6;1.3622623939891931;5;1.0
225;2;1.3795299147000697;5;1.0
226;2;1.3795299147000697;5;1.0
227;6;1.3956457796568655;5;1.0
228;3;1.4056969997849829;5;0.0
229;9;1.4137229404687164;5;1.0
230;2;1.4227142158206203;5;1.0
231;7;1.4250767923350358;5;1.0
232;5;1.4969270885723798;5;1.0
233;9;1.5277968041247558;5;1.0
234;2;1.5933008062007696;5;1.0
235;2;1.5933008062007696;5;1.0
236;3;1.6308998956057812;5;1.0
237;15;1.7698177425486767;4;1.0
238;1;1.837082362558044;5;1.0
239;5;1.8818057000064563;5;1.0
240;3;1.9438624176923898;5;1.0
241;3;1.9438624176923898;5;1.0
242;2;2.0529319053816817;5;1.0
243;7;2.05555639366319;5;1.0
244;2;2.0662937141654543;5;1.0
245;2;2.0662937141654543;5;1.0
246;2;2.0662937141654543;5;1.0
247;5;2.098546667748921;5;1.0
248;1;2.2203869835864225;5;1.0
249;2;2.2950855682583007;5;1.0
250;2;2.3330127336909143;5;1.0
251;1;2.4949019031120727;5;1.0
252;3;2.8148181335684743;5;1.0
253;1;2.92439308616636;5;1.0
254;1;2.92439308616636;5;1.0
255;1;2.92439308616636;5;1.0
256;3;3.2645785544908428;5;0.0
